mode,sweep,position,slot,engine,pair,variant,cost_ms_per_s,spread_percent
null,16,0,V2c,V2,voice-dsp,clause-5,0.585739,0.1825
null,16,0,V2c,V2,whole-render,as-built,0.594561,0.0495
null,16,1,V2d,V2,voice-dsp,as-built,0.582595,0.2353
null,16,1,V2d,V2,voice-dsp,clause-5,0.586489,0.0058
null,16,1,V2d,V2,whole-render,as-built,0.594646,0.2626
null,16,2,V2a,V2,voice-dsp,as-built,0.522400,11.6652
null,16,2,V2a,V2,voice-dsp,clause-5,0.525373,0.1267
null,16,2,V2a,V2,whole-render,as-built,0.535090,0.6075
null,16,3,V2b,V2,voice-dsp,as-built,0.522208,0.3899
null,16,3,V2b,V2,voice-dsp,clause-5,0.527273,0.6396
null,16,3,V2b,V2,whole-render,as-built,0.533869,0.5510
null,17,0,V2c,V2,voice-dsp,as-built,0.523098,0.4069
null,17,0,V2c,V2,voice-dsp,clause-5,0.531559,1.0052
null,17,0,V2c,V2,whole-render,as-built,0.540708,0.5615
null,17,1,V2d,V2,voice-dsp,as-built,0.528065,0.3175
null,17,1,V2d,V2,voice-dsp,clause-5,0.525355,1.2212
null,17,1,V2d,V2,whole-render,as-built,0.539486,0.3077
null,17,2,V2b,V2,voice-dsp,as-built,0.522854,0.5352
null,17,2,V2b,V2,voice-dsp,clause-5,0.531292,0.2314
null,17,2,V2b,V2,whole-render,as-built,0.534027,0.9429
null,17,3,V2a,V2,voice-dsp,as-built,0.526516,0.2750
null,17,3,V2a,V2,voice-dsp,clause-5,0.532435,0.2845
null,17,3,V2a,V2,whole-render,as-built,0.539793,0.0025
null,18,0,V2d,V2,voice-dsp,as-built,0.522105,1.3652
null,18,0,V2d,V2,voice-dsp,clause-5,0.531549,0.4431
null,18,0,V2d,V2,whole-render,as-built,0.535424,0.1529
null,18,1,V2a,V2,voice-dsp,as-built,0.527863,0.0161
null,18,1,V2a,V2,voice-dsp,clause-5,0.534882,0.0568
null,18,1,V2a,V2,whole-render,as-built,0.540041,0.5438
null,18,2,V2b,V2,voice-dsp,as-built,0.521906,1.2480
null,18,2,V2b,V2,voice-dsp,clause-5,0.526721,1.8151
null,18,2,V2b,V2,whole-render,as-built,0.545611,0.4114
null,18,3,V2c,V2,voice-dsp,as-built,0.582584,0.0449
null,18,3,V2c,V2,voice-dsp,clause-5,0.586208,0.0221
null,18,3,V2c,V2,whole-render,as-built,0.595674,0.2339
null,19,0,V2d,V2,voice-dsp,as-built,0.582935,0.0752
null,19,0,V2d,V2,voice-dsp,clause-5,0.585908,0.0496
null,19,0,V2d,V2,whole-render,as-built,0.594614,0.3186
null,19,1,V2a,V2,voice-dsp,as-built,0.582634,0.0027
null,19,1,V2a,V2,voice-dsp,clause-5,0.586170,0.0113
null,19,1,V2a,V2,whole-render,as-built,0.594957,0.2024
null,19,2,V2c,V2,voice-dsp,as-built,0.582464,0.0451
null,19,2,V2c,V2,voice-dsp,clause-5,0.585934,0.0371
null,19,2,V2c,V2,whole-render,as-built,0.595039,0.1809
null,19,3,V2b,V2,voice-dsp,as-built,0.582468,0.1214
null,19,3,V2b,V2,voice-dsp,clause-5,0.586557,0.1048
null,19,3,V2b,V2,whole-render,as-built,0.594899,0.3252
null,20,0,V2d,V2,voice-dsp,as-built,0.582408,0.0123
null,20,0,V2d,V2,voice-dsp,clause-5,0.586139,0.0382
null,20,0,V2d,V2,whole-render,as-built,0.594281,0.0064
null,20,1,V2b,V2,voice-dsp,as-built,0.582971,0.0321
null,20,1,V2b,V2,voice-dsp,clause-5,0.585983,0.0127
null,20,1,V2b,V2,whole-render,as-built,0.594629,0.0713
null,20,2,V2a,V2,voice-dsp,as-built,0.583112,0.0795
null,20,2,V2a,V2,voice-dsp,clause-5,0.585896,0.0770
null,20,2,V2a,V2,whole-render,as-built,0.533087,11.7322
null,20,3,V2c,V2,voice-dsp,as-built,0.522216,0.1165
null,20,3,V2c,V2,voice-dsp,clause-5,0.529728,0.0312
null,20,3,V2c,V2,whole-render,as-built,0.538540,0.6205
null,21,0,V2d,V2,voice-dsp,as-built,0.523833,0.8847
null,21,0,V2d,V2,voice-dsp,clause-5,0.529327,1.1258
null,21,0,V2d,V2,whole-render,as-built,0.534092,0.8396
null,21,1,V2b,V2,voice-dsp,as-built,0.528164,0.9375
null,21,1,V2b,V2,voice-dsp,clause-5,0.525715,1.8705
null,21,1,V2b,V2,whole-render,as-built,0.543417,0.4647
null,21,2,V2c,V2,voice-dsp,as-built,0.527003,0.1051
null,21,2,V2c,V2,voice-dsp,clause-5,0.531790,0.1388
null,21,2,V2c,V2,whole-render,as-built,0.539387,0.6457
null,21,3,V2a,V2,voice-dsp,as-built,0.529224,0.6935
null,21,3,V2a,V2,voice-dsp,clause-5,0.530135,0.0398
null,21,3,V2a,V2,whole-render,as-built,0.534637,0.9915
null,22,0,V2d,V2,voice-dsp,as-built,0.521995,1.4470
null,22,0,V2d,V2,voice-dsp,clause-5,0.525668,0.8211
null,22,0,V2d,V2,whole-render,as-built,0.538992,0.4686
null,22,1,V2c,V2,voice-dsp,as-built,0.531499,0.2816
null,22,1,V2c,V2,voice-dsp,clause-5,0.525020,0.4794
null,22,1,V2c,V2,whole-render,as-built,0.544666,0.3852
null,22,2,V2a,V2,voice-dsp,as-built,0.532083,0.2508
null,22,2,V2a,V2,voice-dsp,clause-5,0.528230,0.0127
null,22,2,V2a,V2,whole-render,as-built,0.536133,1.5556
null,22,3,V2b,V2,voice-dsp,as-built,0.521358,3.1846
null,22,3,V2b,V2,voice-dsp,clause-5,0.549000,0.0610
null,22,3,V2b,V2,whole-render,as-built,0.595025,0.0498
null,23,0,V2d,V2,voice-dsp,as-built,0.582407,0.1874
null,23,0,V2d,V2,voice-dsp,clause-5,0.585819,0.0962
null,23,0,V2d,V2,whole-render,as-built,0.595075,0.0042
null,23,1,V2c,V2,voice-dsp,as-built,0.582208,0.0571
null,23,1,V2c,V2,voice-dsp,clause-5,0.585808,0.0514
null,23,1,V2c,V2,whole-render,as-built,0.594138,0.0574
null,23,2,V2b,V2,voice-dsp,as-built,0.582445,0.0992
null,23,2,V2b,V2,voice-dsp,clause-5,0.585815,0.0625
null,23,2,V2b,V2,whole-render,as-built,0.595010,0.1015
null,23,3,V2a,V2,voice-dsp,as-built,0.582848,0.0331
null,23,3,V2a,V2,voice-dsp,clause-5,0.586171,0.0179
null,23,3,V2a,V2,whole-render,as-built,0.594633,0.0939
