sweep,position,arm,shape,variant,cost_ms_per_s,control_ms_per_s,in_process_spread_percent
6,0,64,voice-stereo,clause-5,0.569322,0.581099,0.104
6,0,64,gain-chain,as-built,0.574486,0.570584,0.733
6,0,64,gain-chain,clause-5,0.581361,0.580442,0.304
6,1,64b,voice-mono,as-built,0.515851,0.511961,0.068
6,1,64b,voice-mono,clause-5,0.530297,0.528697,0.487
6,1,64b,voice-stereo,as-built,0.581979,0.587724,0.107
6,1,64b,voice-stereo,clause-5,0.582198,0.568433,0.079
6,1,64b,gain-chain,as-built,0.570819,0.564927,0.360
6,1,64b,gain-chain,clause-5,0.574988,0.574257,0.342
6,2,128,voice-mono,as-built,0.549806,0.550045,0.096
6,2,128,voice-mono,clause-5,0.495244,0.500420,0.679
6,2,128,voice-stereo,as-built,0.553022,0.552774,0.350
6,2,128,voice-stereo,clause-5,0.604407,0.604704,0.136
6,2,128,gain-chain,as-built,0.469282,0.468901,0.198
6,2,128,gain-chain,clause-5,0.470646,0.470426,0.341
6,3,256,voice-mono,as-built,0.494820,0.495249,0.663
6,3,256,voice-mono,clause-5,0.497855,0.499528,0.573
6,3,256,voice-stereo,as-built,0.589314,0.588936,0.131
6,3,256,voice-stereo,clause-5,0.541478,0.534418,0.524
6,3,256,gain-chain,as-built,0.429523,0.421131,0.953
6,3,256,gain-chain,clause-5,0.432609,0.431857,0.478
6,4,32,voice-mono,as-built,0.549465,0.539971,0.068
6,4,32,voice-mono,clause-5,0.560195,0.559481,0.333
6,4,32,voice-stereo,as-built,0.632871,0.631968,0.161
6,4,32,voice-stereo,clause-5,0.632240,0.611409,0.108
6,4,32,gain-chain,as-built,0.825566,0.805868,0.716
6,4,32,gain-chain,clause-5,0.828587,0.829493,0.152
7,0,64b,voice-mono,as-built,0.569730,0.569673,0.049
7,0,64b,voice-mono,clause-5,0.512631,0.513979,0.144
7,0,64b,voice-stereo,as-built,0.580566,0.582980,0.518
7,0,64b,voice-stereo,clause-5,0.604414,0.594673,0.090
7,0,64b,gain-chain,as-built,0.578439,0.578533,0.213
7,0,64b,gain-chain,clause-5,0.582526,0.581610,0.361
7,1,128,voice-mono,as-built,0.494828,0.497983,0.733
7,1,128,voice-mono,clause-5,0.505307,0.506824,0.615
7,1,128,voice-stereo,as-built,0.600306,0.600584,0.069
